epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.18365,3.90021,6.67195,3.05318,0,0,0,0,2.5459,6.06017,2.86189,0,0,0
2,7.4044,3.67456,6.20191,2.59426,0,0,0,0,2.53574,6.06032,2.8374,1.9604e-05,1.9604e-05,1.9604e-05
3,7.9064,2.7656,5.68522,2.11274,0,0,0,0,2.41888,6.06036,2.7655,3.8416e-05,3.8416e-05,3.8416e-05
4,8.34563,4.09073,12.2873,2.98007,0,0,0,0,2.26682,5.98656,2.67789,5.6436e-05,5.6436e-05,5.6436e-05
5,8.7848,3.53923,5.87268,2.84681,0,0,0,0,2.16081,5.90137,2.61262,7.3664e-05,7.3664e-05,7.3664e-05
6,9.2083,3.41069,5.24431,2.68039,0,0,0,0,2.09602,5.83768,2.55165,9.01e-05,9.01e-05,9.01e-05
7,9.6273,2.44691,5.66469,2.04489,0.00111,0.33333,0.00133,0.00013,1.95601,5.89733,2.451,0.000105744,0.000105744,0.000105744
8,10.0498,2.67176,5.29892,2.2358,0.00111,0.33333,0.00152,0.0003,1.9314,5.46208,2.30072,0.000120596,0.000120596,0.000120596
9,10.4608,2.89666,4.61119,2.03401,0.00111,0.33333,0.00152,0.0003,1.9314,5.46208,2.30072,0.000134656,0.000134656,0.000134656
10,10.8783,2.83174,5.30779,2.16061,0.00222,0.66667,0.00518,0.00324,1.86279,4.98025,1.93602,0.000147924,0.000147924,0.000147924
11,11.289,2.56801,5.7941,1.98121,0.00222,0.66667,0.00518,0.00324,1.86279,4.98025,1.93602,0.0001604,0.0001604,0.0001604
12,11.7211,2.16056,3.94806,1.44179,0.00222,0.66667,0.04008,0.00664,1.98258,4.82383,1.77326,0.000172084,0.000172084,0.000172084
13,12.1451,2.05676,7.0482,1.60898,0.00222,0.66667,0.04008,0.00664,1.98258,4.82383,1.77326,0.000182976,0.000182976,0.000182976
14,12.5711,2.13752,4.91833,1.71673,0.00222,0.66667,0.00494,0.00294,1.89384,4.52413,1.62584,0.000193076,0.000193076,0.000193076
15,12.9791,2.25224,3.64648,1.66557,0.00222,0.66667,0.00494,0.00294,1.89384,4.52413,1.62584,0.000202384,0.000202384,0.000202384
16,13.4091,2.3338,5.508,1.65975,0.00333,1,0.46991,0.07347,1.68101,3.92274,1.40858,0.0002109,0.0002109,0.0002109
17,13.8516,1.8851,3.95218,1.48956,0.00333,1,0.46991,0.07347,1.68101,3.92274,1.40858,0.000218624,0.000218624,0.000218624
18,14.2916,2.45426,4.09097,1.40388,0.00333,1,0.50303,0.0883,1.62798,3.86639,1.33109,0.000225556,0.000225556,0.000225556
19,14.7071,1.36581,3.86138,1.10832,0.00333,1,0.50303,0.0883,1.62798,3.86639,1.33109,0.000231696,0.000231696,0.000231696
20,15.1496,1.76099,5.2248,1.48421,0.00333,1,0.47012,0.14954,1.59952,3.78009,1.28286,0.000237044,0.000237044,0.000237044
21,15.6456,1.96884,4.00302,1.2107,0.00333,1,0.47012,0.14954,1.59952,3.78009,1.28286,0.0002416,0.0002416,0.0002416
22,16.0706,1.75041,2.9427,1.23768,0.00333,1,0.66805,0.20381,1.51288,3.66104,1.19069,0.000245364,0.000245364,0.000245364
23,16.4801,2.15881,5.07866,1.10169,0.00333,1,0.66805,0.20381,1.51288,3.66104,1.19069,0.000248336,0.000248336,0.000248336
24,16.8861,1.63554,3.22942,1.45757,0.00333,1,0.66805,0.20381,1.51288,3.66104,1.19069,0.000250516,0.000250516,0.000250516
25,17.3071,1.5695,3.35616,1.08182,0.00333,1,0.55796,0.13684,1.38565,3.6823,1.15289,0.000251904,0.000251904,0.000251904
26,17.7171,1.61822,3.35669,1.11799,0.00333,1,0.55796,0.13684,1.38565,3.6823,1.15289,0.0002525,0.0002525,0.0002525
27,18.1361,1.73443,2.34098,1.21447,0.00333,1,0.55796,0.13684,1.38565,3.6823,1.15289,0.000252304,0.000252304,0.000252304
28,18.5541,2.09584,3.66749,1.31035,0.00333,1,0.55782,0.1813,1.3022,3.62437,1.12846,0.000251316,0.000251316,0.000251316
29,18.9591,1.91865,4.30109,1.48405,0.00333,1,0.55782,0.1813,1.3022,3.62437,1.12846,0.000249536,0.000249536,0.000249536
30,19.3641,1.10801,2.56487,0.93245,0.00333,1,0.55782,0.1813,1.3022,3.62437,1.12846,0.000246964,0.000246964,0.000246964
31,19.7821,1.65713,2.4786,1.08057,0.00333,1,0.83,0.18033,1.23143,3.55893,1.10621,0.0002436,0.0002436,0.0002436
32,20.2341,1.52761,4.67802,1.18037,0.00333,1,0.83,0.18033,1.23143,3.55893,1.10621,0.000239444,0.000239444,0.000239444
